,nid,infectado,antubicacion,ubicacion,tamanio,carga_viral,carga_viral2,infectado_paso,infecte_a,ultdx,ultdy,color,trayectoria
88,88,True,[24.03745958 11.05699211],[24.3421447 10.5913171],1,372937,0,0.0,0,0.3046851162546257,0.8382150259059634,mediumorchid,"[(22.373725924797473, 13.042296135605591), (23.47879330797946, 11.566476934296476), (23.908889203591897, 11.297126410982594)]"
89,89,True,[22.38049846 20.87916935],[21.99182435 20.93935029],1,501280,0,0.0,0,0.38867411486742154,0.06018093991825535,slategray,"[(19.993737924500845, 15.076038819086659), (17.769283339690737, 16.217061863259957), (22.84013122915264, 18.45273962416224)]"
90,90,True,[ 6.54860336 22.34833206],[ 6.53939357 21.83013717],1,239897,0,0.0,0,0.08288813674124462,0.932750796860547,darkcyan,"[(0.10952927060208117, 24.018049748187316), (1.6751266098724966, 24.877660261019294), (5.718139101894972, 24.340741777264128)]"
91,91,True,[15.66351155  6.53136102],[15.94021582  6.84259122],1,506591,0,0.0,1,0.8301128042273357,0.9336905941347046,bisque,"[(15.931538376634677, 5.616406091282709), (17.579209789076135, 5.282372423957031), (17.155212669253952, 4.760147195774948)]"
92,92,True,[18.10244651 16.58631447],[18.54149563 16.62794523],1,472347,0,0.0,0,0.7902884022954112,0.3746768794309705,pink,"[(14.283978074542773, 16.719449392927068), (19.150812441656846, 18.428671766966758), (17.371459784465703, 16.452203986705584)]"
93,93,True,[18.75018373 13.32466914],[19.24595306 13.32106029],1,512557,0,0.0,0,0.6374177113216536,0.03247958595083811,lemonchiffon,"[(15.470002855483276, 21.913211296119748), (15.635748943921154, 19.663284324558262), (19.714698249984068, 14.643771226399918)]"
94,94,True,[24.04681316 10.93530844],[23.56299768 11.77749409],1,447379,0,0.0,0,0.8708678569245226,0.8421856554627783,darkgrey,"[(23.18372777424326, 13.623843806256271), (23.213953228539864, 11.768900510982563), (23.18697774499213, 11.59860386335298)]"
95,95,True,[2.51922898 1.34561939],[2.13923605 1.72870949],1,246472,0,0.0,0,0.6839872628487355,0.383090106237549,hotpink,"[(24.94738811310542, 2.947764863338207), (1.9928138586587718, 0.4456153183338698), (2.4124102769933264, 2.0320104794430387)]"
96,96,True,[2.52000833 0.72827748],[2.78487125 1.26988138],1,398814,0,0.0,0,0.7945887732275561,0.5416039014845896,silver,"[(5.260219378635126, 4.290929641643852), (4.837552375579892, 4.3675778251377), (5.629267574629242, 2.5654373808403674)]"
97,97,True,[15.30324265 14.01701078],[15.28683287 13.92290931],1,414330,0,0.0,0,0.14768804493826493,0.16938264487503896,dimgray,"[(14.805159234545474, 15.934151265872272), (13.6684690883794, 15.111850291916108), (14.798615648142032, 12.903468058785858)]"
98,98,True,[ 1.50255557 23.17344909],[ 0.99937621 23.11020197],1,225993,0,0.0,0,0.9057228565057518,0.113844810974285,tomato,"[(0.0763289440534426, 23.50655770561326), (1.5414504403673344, 18.82869881451029), (0.3660635592119017, 24.90612408064586)]"
99,99,True,[22.50131437 20.96266717],[22.52608224 20.84141005],1,458786,0,0.0,0,0.22291088063990738,0.21826281800255198,darkslategray,"[(16.89556345676407, 23.999043636233385), (19.767134089000947, 23.06395232558868), (20.375195060278045, 20.458624867768677)]"
100,100,True,[12.82935435 21.35933991],[12.45043679 21.20737586],1,349988,0,0.0,0,0.6820515916953301,0.45589216684211076,wheat,"[(12.931710275258887, 19.820277811926104), (14.728531450162924, 20.07817778800608), (11.10429334221591, 20.38512049972693)]"
101,101,True,[16.62721532 18.34564781],[16.57082311 17.38714081],1,516393,0,0.0,0,0.5075299356331031,0.9585070014120138,firebrick,"[(20.772636914665256, 13.896187325215294), (20.52852719578445, 16.339412659653654), (18.30107415773385, 16.229095905096482)]"
102,102,True,[15.47033886 12.07797609],[15.25343592 12.28764995],1,457749,0,0.0,0,0.39042530272050524,0.37741295779104844,pink,"[(15.02575684521796, 7.697778298109361), (16.47177586605648, 8.643200500440571), (14.650111064164275, 10.77029923910072)]"
103,103,True,[2.11527262 7.8048405 ],[2.03957679 7.69943272],1,446842,0,0.0,2,0.22708751042938125,0.13552428507310232,salmon,"[(5.783501015548646, 8.985605768056057), (5.174781413625475, 8.329845332237067), (3.086190642444757, 5.286769752924294)]"
104,104,True,[ 4.26820919 16.74718678],[ 4.29614512 16.39797585],1,435641,0,0.0,0,0.0502846666071699,0.6285796717625339,aqua,"[(5.727206542044305, 13.134763808239715), (3.2162261892674, 12.770293835379082), (5.182734911356198, 14.72868630865395)]"
105,105,True,[21.3737924  14.27453109],[21.64534821 14.04771221],1,395608,0,0.0,0,0.8146674113808408,0.6804566419161554,palevioletred,"[(23.255039161135983, 11.981860478207285), (24.43432355502831, 12.52561337956266), (23.39291451971008, 13.231969097207399)]"
106,106,True,[1.82196143 4.50436698],[1.85962759 3.67620821],1,365317,0,0.0,0,0.33899546877708864,0.8281587636390214,lime,"[(3.221406803130802, 3.924588204402706), (4.97071508859051, 4.005521597456396), (2.318621881939011, 2.181846097421394)]"
